Company,Recommendation ID#,Description of recommendation,Recommendation type,Sector,Expected cost of measure [ZAR],Operational costs expected to be avoided [ZAR/year],Energy use expected to be avoided [kWh/year] ,Water use expected to be avoided [m3/year] ,GHG Expected to be avoided (Tonne),Actual cost of measure [ZAR],Timeframe for project completion,"STATUS 
[A to D]","IFC ROLE 
[1 to 3]",Actual operational cost avoided,Actual energy use avoided [kWh/year],Actual water use avoided [m3/year],Date Updated,ZAR:USD,Value of IFC financing facilitated [US$],Value of financing facilitated [US$],Costs expected to be avoided [US$/year],Water use expected to be avoided [cubic meters/year],Energy use expected to be avoided [MWh/year],"GHG emissions expected to be reduced 
[metric tons/year]"
Cavalier,1,Water wise cleaning method ,,Red Meat,,,,8030,,,,Implementation ongoing/completed,Valuable,,,8030,,,,,,,,
Cavalier,2,Discipline of water usage during abattoir production  ,,Red Meat,,,,10950,,,,Implementation ongoing/completed,Limited,,,10950,,,,,,,,
Cavalier,3,Modification of lamb bleeding floor and transportation of blood ,,Red Meat,,,,10585,,,,Implementation ongoing/completed,Limited,,,10585,,,,,,,,
Cavalier,4,Grey water collection ,,Red Meat,,,,10330,,,,Implementation ongoing/completed,Valuable,,,10330,,,,,,,,
Cavalier,5,Solar  ,,Red Meat,,,,,,,,Implementation ongoing/completed,Limited,,,,,,,,,,,
Cavalier,6,Reduction of solids to oxidation ponds ,,Red Meat,,,,,,,,Implementation ongoing/completed,Valuable,,,,,,,,,,,
Cavalier,7,Rain harvesting ,,Red Meat,,,,1720,,,,Implementation ongoing/completed,Valuable,,,1720,,,,,,,,
Cavalier,8,Heat Exchange system ,,Red Meat,,,1835000,,,,,Implementation ongoing/completed,Limited,,1835000,,,,,,,,,
Cavalier,9,Lowering of water pressure in facilities ,,Red Meat,,,,,,,,Implementation ongoing/completed,Limited,,,41615,,,,,,,,
Cavalier,10,Metering and monitoring early detection of out of the norm usage and dedicated team to detect water leaks. ,,Red Meat,,,,,,,,Implementation ongoing/completed,Valuable,,,,,,,,,,,
Cavalier_IFC,1,Optimise Manual Cleaning/Rinse systemising systems,water,Red Meat,25000,6000,,6000,,,,,,,,,,,,,,,,
Cavalier_IFC,2,Optimise Knife and Hook Sterilising Systems ,water,Red Meat,2000000,1680000,,36000,,,,,,,,,,,,,,,,
Cavalier_IFC,3,Optimise boot and hand washing,water,Red Meat,100000,70000,,5760,,,,,,,,,,,,,,,,
Cavalier_IFC,4,Water re-use opportunties,water,Red Meat,50000,24000,,24000,,,,,,,,,,,,,,,,
Cavalier_IFC,5,Optimise refridgeration systems,electrical energy,Red Meat,100000,100000,100000,,,,,,,,,,,,,,,,,
Cavalier_IFC,6,Reduce Peak Electrical Demand,electrical energy,Red Meat,500000,1000000,0,,,,,,,,,,,,,,,,,
Cavalier_IFC,7,Renewables and waste heat recovery,electrical energy,Red Meat,1200000,600000,500000,,,,,,,,,,,,,,,,,
Cavalier_IFC,8,Compressed Air Leaks and Usage,electrical energy,Red Meat,50000,60000,50000,,,,,,,,,,,,,,,,,
Cavalier_IFC,9,Chiller system COP management and Optimisation,qualitative,Red Meat,,,,,,,,,,,,,,,,,,,,
Cavalier_IFC,10,Dry Cleaning Techniques,qualitative,Red Meat,,,,,,,,,,,d,,,,,,,,,
Cavalier_IFC,11,Ground water strategy,qualitative,Red Meat,,,,,,,,,,,at,,,,,,,,,
Cavalier_IFC,12,Rain Water Recovery,qualitative,Red Meat,,,,14400,,,,,,,,,,,,,,,,
Cookhouse Creamery,1,CIP optimization,water,Dairy,300000,365000,,22500,,,45047,Investment plan approved,Valuable,,,,,,,,,,,
Cookhouse Creamery,2,Reduce water leaks and losses,water,Dairy,50000,240000,,3240,,,,Implementation ongoing/completed,Limited,,,,,,,,,,,
Cookhouse Creamery,3,Boiier condensate recovery,water,Dairy,200000,125000,,1500,,,44866,Implementation ongoing/completed,Valuable,,,,,,,,,,,
Cookhouse Creamery,4,Process area water optimization,water,Dairy,100000,170000,,3720,,,,Implementation ongoing/completed,Valuable,,,,,,,,,,,
Cookhouse Creamery,5,Optimize manual cleaning,water,Dairy,20000,46500,,3000,,,,Implementation ongoing/completed,Limited,,,,,,,,,,,
Cookhouse Creamery,6,Caustic/acid recovery,water,Dairy,2500000,700000,,5000,,,,No plans to implement,Valuable,,,,,,,,,,,
Cookhouse Creamery,7,Reduce electrical peak demand,electrical energy,Dairy,50000,82500,,,,,,Recommendations are being discussed,Limited,,,,,,,,,,,
Cookhouse Creamery,8,Reduce compressed air leaks,electrical energy,Dairy,50000,60000,31200,,,,,Implementation ongoing/completed,Limited,,,,,,,,,,,
Cookhouse Creamery,9,Improve power factor,electrical energy,Dairy,240000,240000,,,,,,Implementation ongoing/completed,Limited,,,,,,,,,,,
Cookhouse Creamery,10,Replace T8 lights with LEDs,electrical energy,Dairy,70000,35000,15000,,,,,Implementation ongoing/completed,Valuable,,,,,,,,,,,
Cookhouse Creamery,11,Reducel electrical baseload,electrical energy,Dairy,100000,72000,72000,,,,,Recommendations are being discussed,Valuable,,,,,,,,,,,
