Company;Recommendation ID#;Description of recommendation;Recommendation type;Sector;Expected cost of measure [ZAR];Operational costs expected to be avoided [ZAR/year];Energy use expected to be avoided [kWh/year] ;Water use expected to be avoided [m3/year] ;Actual cost of measure [ZAR];Timeframe for project completion;"STATUS 
[A to D]";"IFC ROLE 
[1 to 3]";Actual operational cost avoided;Actual energy use avoided [kWh/year];Actual water use avoided [m3/year];Date Updated;ZAR:USD;Value of IFC financing facilitated [US$];Value of financing facilitated [US$];Costs expected to be avoided [US$/year];Water use expected to be avoided [cubic meters/year];Energy use expected to be avoided [MWh/year];"GHG emissions expected to be reduced 
[metric tons/year]"
CKI Mosselbay;1;Optimise knife and hook sanitation systems;water;Red Meat;1000000;500000;150000;2000;;;;Essential;;;;45030;18;;0;0;0;0;
CKI Mosselbay;2;Optimise boot and hand washing;water;Red Meat;200000;186000;75000;1500;500000;;;;;;1000;44896;18;;0;0;0;0;
CKI Mosselbay;3;Utilise ground water;water;Red Meat;200000;180000;;4200;;;Implementation ongoing/completed;Limited;;;;44896;18;;0;0;0;0;
CKI Mosselbay;4;Refrigeration system optimisation;electrical energy;Red Meat;15000000;3200000;1600000;;;;No plans to implement;None;;;55555;44896;18;;0;0;0;0;
CKI Mosselbay;5;Pump system optimisation;electrical energy;Red Meat;100000;100000;50000;;;;Investment plan approved;Essential;;;55555;44896;18;;0;0;0;0;
CKI Mosselbay;6;Compressed air system optimisation;electrical energy;Red Meat;100000;140000;120000;;;;Implementation ongoing/completed;Valuable;180000;;;44896;18;;0;0;0;0;
CKI Mosselbay;7;Renewables for heat generation;electrical energy;Red Meat;5000000;1200000;360000;;;;Implementation ongoing/completed;Essential;;500000;;44967;18;;0;0;0;0;
CKI Mosselbay;8;Optimise steam system generation efficiency;steam energy;Red Meat;3000000;1000000;750000;;;;Investment plan approved;Valuable;;;;44967;18;;0;0;0;0;
CKI Mosselbay;9;Insulate steam lines, valves and flanges;steam energy;Red Meat;150000;150000;100000;;;;Investment plan approved;Limited;;;;44967;18;;0;0;0;0;
CKI Mosselbay;10;Install solar PV;steam energy;Red Meat;3500000;2150000;500000;;;;Implementation ongoing/completed;None;;700000;;44967;18;;0;0;0;0;
CKI Mosselbay;11;Adopt statistical best practice;qualitative;Red Meat;;;;;;;;;;;;;;;;;;;
CKI Mosselbay;12;Fan system optimisation;qualitative;Red Meat;;;;;;;;;;;;;;;;;;;
CKI Mosselbay;13;Dry cleaning techniques;qualitative;Red Meat;;;;;;;;;;;;;;;;;;;
CKI Mosselbay;14;Implement an effective metering solution;qualitative;Red Meat;;;;;;;;;;;;;;;;;;;
Cavalier;1;Optimise manual cleaning/rinse systems;water;Red Meat;25000;6000;;6000;;;;;20075;;8030;;;;;;;;
Cavalier;2;Optimise knife and hook sterilizing systems;water;Red Meat;2000000;1680000;;36000;;;;;27375;;10950;;;;;;;;
Cavalier;3;Optimise boot and hand washing;water;Red Meat;100000;70000;;5760;;;;;;;10585;;;;;;;;
Cavalier;4;Water re-use opportunities;water;Red Meat;50000;24000;;24000;;;;;;;10330;;;;;;;;
Cavalier;5;Optimise refridgeration systems;electrical energy;Red Meat;100000;100000;100000;;;;;;;;;;;;;;;;
Cavalier;6;Reduce peak electrical demand;electrical energy;Red Meat;500000;1000000;0;;;;;;;;;;;;;;;;
Cavalier;7;Renewables and waste heat recovery;electrical energy;Red Meat;1200000;600000;500000;;;;;;;;;;;;;;;;
Cavalier;8;Compressed air leaks and usage;electrical energy;Red Meat;50000;60000;50000;;;;;;;;1720;;;;;;;;
Cavalier;9;Chiller system COP management and optimisation;qualitative;Red Meat;;;;;;;;;;;;;;;;;;;
Cavalier;10;Dry Cleaning Techniques;qualitative;Red Meat;;;;;;;;;;;;;;;;;;;
Cavalier;11;Ground water strategy;qualitative;Red Meat;;;;;;;;;;;;;;;;;;;
Cavalier;12;Rain Water Recovery;qualitative;Red Meat;;;;14400;;;;;;;;;;;;;;;
Cookhouse Creamery;1;CIP optimization;water;Dairy;300000;365000;;22500;;45047;Investment plan approved;Valuable;;;;45047;;;;;;;
Cookhouse Creamery;2;Reduce water leaks and losses;water;Dairy;50000;240000;;3240;;;Implementation ongoing/completed;Limited;;;;45047;;;;;;;
Cookhouse Creamery;3;Boiier condensate recovery;water;Dairy;200000;125000;;1500;;44866;Implementation ongoing/completed;Valuable;;;;45047;;;;;;;
Cookhouse Creamery;4;Process area water optimization;water;Dairy;100000;170000;;3720;;;Implementation ongoing/completed;Valuable;;;;45047;;;;;;;
Cookhouse Creamery;5;Optimize manual cleaning;water;Dairy;20000;46500;;3000;;;Implementation ongoing/completed;Limited;;;;45047;;;;;;;
Cookhouse Creamery;6;Caustic/acid recovery;water;Dairy;2500000;700000;;5000;;;No plans to implement;Valuable;;;;45047;;;;;;;
Cookhouse Creamery;7;Reduce electrical peak demand;electrical energy;Dairy;50000;82500;;;;;Recommendations are being discussed;Limited;;;;45047;;;;;;;
Cookhouse Creamery;8;Reduce compressed air leaks;electrical energy;Dairy;50000;60000;31200;;;;Implementation ongoing/completed;Limited;;;;45047;;;;;;;
Cookhouse Creamery;9;Improve power factor;electrical energy;Dairy;240000;240000;;;;;Implementation ongoing/completed;Limited;;;;45047;;;;;;;
Cookhouse Creamery;10;Replace T8 lights with LEDs;electrical energy;Dairy;70000;35000;15000;;;;Implementation ongoing/completed;Valuable;;;;45047;;;;;;;
Cookhouse Creamery;11;Reducel electrical baseload;electrical energy;Dairy;100000;72000;72000;;;;Recommendations are being discussed;Valuable;;;;45047;;;;;;;
Cookhouse Creamery;12;Tower extraction fan optimization;electrical energy;Dairy;43800;50000;21600;;;;Implementation ongoing/completed;Limited;;;;45047;;;;;;;
Cookhouse Creamery;13;Optimize steam system generation;steam energy;Dairy;50000;65000;280800;;;;Recommendations are being discussed;Valuable;;;;45047;;;;;;;
Cookhouse Creamery;14;Insulate steam lines;steam energy;Dairy;75000;75000;324000;;;;Investment plan approved;Limited;;;;45047;;;;;;;
Cookhouse Creamery;15;Reduce steam leaks;steam energy;Dairy;25000;35000;151200;;;;Implementation ongoing/completed;Limited;;;;45047;;;;;;;
Cookhouse Creamery;16;Implement an effective metering system;qualitative;Dairy;;;;;;;;;;;;;;;;;;;
Cookhouse Creamery;17;Renwables and waste heat recovery;qualitative;Dairy;;;;;;;;;;;;;;;;;;;
Cookhouse Creamery;18;Ground water strategy;qualitative;Dairy;;;;;;;;;;;;;;;;;;;
Klein River;1;CIP Optimization;water;Dairy;105000;100000;20;204;;;No plans to implement;Valuable;;;;45047;;;;;;;
Klein River;2;Optimise manual rinse systems;water;Dairy;20000;45000;19;450;;45017;Implementation ongoing/completed;Essential;;;;45047;;;;;;;
Klein River;3;Hot water boiler optimization;electrical energy;Dairy;20000;40000;20;;20000;45170;Investment plan approved;Essential;;;;45047;;;;;;;
Klein River;4;Renewables for heat generation;electrical energy;Dairy;175000;200000;100;;200000;45170;Investment plan approved;Essential;;;;45047;;;;;;;
Klein River;5;Free cooling for maturation rooms;electrical energy;Dairy;50000;18000;12;;30000;45261;Recommendations are being discussed;Essential;;;;45047;;;;;;;
Klein River;6;Solar PV;electrical energy;Dairy;;80000;200;;1900000;45047;Implementation ongoing/completed;Valuable;;;;45047;;;;;;;
Klein River;7;Implement effective metering system;qualitative;Dairy;;;;;50000;45017;Implementation ongoing/completed;Valuable;;;;45047;;;;;;;
Klein River;8;Rain Water Recovery System;qualitative;Dairy;;;;;;;Implementation ongoing/completed;Limited;;;;45047;;;;;;;
Lynca;1;Optimise manual cleaning/rinse systems;water;Red Meat;25000;8220;;6000;;;Implementation ongoing/completed;Valuable;;;;45047;;;;;;;
Lynca;2;Optimise boot and hand washing;water;Red Meat;50000;70000;;5760;1257226;"""2019""";Investment plan approved;Valuable;;;;45047;;;;;;;
Lynca;3;Optimise knife and hook sanitation systems;water;Red Meat;1000000;420000;;7680;;"""2019-2020";No plans to implement;Limited;;;;45047;;;;;;;
Lynca;4;Compressed air leaks and usage;energy;Red Meat;30000;60000;50000;;;;Implementation ongoing/completed;Valuable;;;;45047;;;;;;;
Lynca;5;Renewables and waste heat recovery;energy;Red Meat;1200000;600000;3800000;;;"""within next 2 years""";Recommendations are being discussed;Essential;;;;45047;;;;;;;
