interview__key	interview__id	date	time	action	originator	role	responsible__name	responsible__role
14-42-29-85	0b8aa62311ca43bc88f3346b3dc617a5	2023-10-18	10:55:15	12	Mmoya	1	Mmoya	1
14-42-29-85	0b8aa62311ca43bc88f3346b3dc617a5	2023-10-18	10:55:15	0	Mmoya	1	Pakinyi	2
14-42-29-85	0b8aa62311ca43bc88f3346b3dc617a5	2023-10-18	10:55:15	20	Mmoya	1	Mmoya	1
14-42-29-85	0b8aa62311ca43bc88f3346b3dc617a5	2023-10-18	10:55:15	1	Mmoya	1	Mmoya	1
14-42-29-85	0b8aa62311ca43bc88f3346b3dc617a5	2023-10-18	11:18:26	3	Mmoya	1	Pakinyi	2
14-42-29-85	0b8aa62311ca43bc88f3346b3dc617a5	2023-10-18	11:20:50	17	Pakinyi	2	Pakinyi	2
14-42-29-85	0b8aa62311ca43bc88f3346b3dc617a5	2023-10-18	11:28:49	7	Pakinyi	2	Mmoya	1
14-42-29-85	0b8aa62311ca43bc88f3346b3dc617a5	2023-10-18	11:28:50	18	Pakinyi	2	Pakinyi	2
14-42-29-85	0b8aa62311ca43bc88f3346b3dc617a5	2023-10-18	17:48:52	3	Mmoya	1	Pakinyi	2
14-42-29-85	0b8aa62311ca43bc88f3346b3dc617a5	2023-10-18	19:42:58	17	Pakinyi	2	Pakinyi	2
14-42-29-85	0b8aa62311ca43bc88f3346b3dc617a5	2023-10-18	19:44:15	5	Pakinyi	2	any headquarters	3
14-42-29-85	0b8aa62311ca43bc88f3346b3dc617a5	2023-10-18	19:44:15	18	Pakinyi	2	Pakinyi	2
14-42-29-85	0b8aa62311ca43bc88f3346b3dc617a5	2023-10-19	08:30:49	6	asangare	3		
71-84-08-31	10784eb299b84124ba9100bc16217527	2023-10-18	10:31:42	12	Mmoya	1	Mmoya	1
71-84-08-31	10784eb299b84124ba9100bc16217527	2023-10-18	10:31:42	0	Mmoya	1	Pakinyi	2
71-84-08-31	10784eb299b84124ba9100bc16217527	2023-10-18	10:31:42	20	Mmoya	1	Mmoya	1
71-84-08-31	10784eb299b84124ba9100bc16217527	2023-10-18	10:31:42	1	Mmoya	1	Mmoya	1
71-84-08-31	10784eb299b84124ba9100bc16217527	2023-10-18	10:53:31	3	Mmoya	1	Pakinyi	2
71-84-08-31	10784eb299b84124ba9100bc16217527	2023-10-18	11:06:33	17	Pakinyi	2	Pakinyi	2
71-84-08-31	10784eb299b84124ba9100bc16217527	2023-10-18	11:14:31	7	Pakinyi	2	Mmoya	1
71-84-08-31	10784eb299b84124ba9100bc16217527	2023-10-18	11:14:32	18	Pakinyi	2	Pakinyi	2
71-84-08-31	10784eb299b84124ba9100bc16217527	2023-10-18	11:22:20	3	Mmoya	1	Pakinyi	2
71-84-08-31	10784eb299b84124ba9100bc16217527	2023-10-18	16:00:49	17	Pakinyi	2	Pakinyi	2
71-84-08-31	10784eb299b84124ba9100bc16217527	2023-10-18	16:02:31	7	Pakinyi	2	Mmoya	1
71-84-08-31	10784eb299b84124ba9100bc16217527	2023-10-18	16:02:32	18	Pakinyi	2	Pakinyi	2
71-84-08-31	10784eb299b84124ba9100bc16217527	2023-10-18	17:52:41	3	Mmoya	1	Pakinyi	2
71-84-08-31	10784eb299b84124ba9100bc16217527	2023-10-18	19:34:05	17	Pakinyi	2	Pakinyi	2
71-84-08-31	10784eb299b84124ba9100bc16217527	2023-10-18	19:34:49	5	Pakinyi	2	any headquarters	3
71-84-08-31	10784eb299b84124ba9100bc16217527	2023-10-18	19:34:49	18	Pakinyi	2	Pakinyi	2
71-84-08-31	10784eb299b84124ba9100bc16217527	2023-10-19	08:29:21	6	asangare	3		
