Firms;Question;Answer;Sector;;;;;;;;;;;;;;Q1- Overall how would your company rate the quality of IFC advisory services received?
Cookhouse Creamery;Q1;Neither disasatisfied or satisfied;Dairy;;;;;;;;;;;;;;Q2-To what extent did the APRE program interventions address the needs of your firm?
Cookhouse Creamery;Q2;All needs were met;Dairy;;;;;;;;;;;;;;Q3 -Would you recommend IFC to other companies as partner to engage in similar cases?)
Cookhouse Creamery;Q3;Yes;Dairy;;;;;;;;;;;;;;"Q4 -	To what extent do you think the program has contributed to the agri-processing sector transformation to move towards resource efficiency practices? )"
Cookhouse Creamery;Q5;High;Dairy;;;;;;;;;;;;;;"Q5 -	To what extent do you think the program has contributed to the development of a market for resource efficiency systems and infrastructure in South Africa?)"
Cookhouse Creamery;Q6;Yes;Dairy;;;;;;;;;;;;;;"Q6 -	Was the program successful in building capacity and increasing awareness on the water and energy efficiency measures among agri-processing companies and sector aggregators?)"
Cookhouse Creamery;Q7;Yes;Dairy;;;;;;;;;;;;;;Q7 -Have you adopted any additional measures that were not listed in IFC’s recommendation ? [Note to the interviewer: Check footnote for the list of firms to be asked this question)
Cookhouse Creamery;Q8;Yes;Dairy;;;;;;;;;;;;;;Q8 -Did you RECEIVE new information on resource efficiency (water/energy efficiency) from the IFC project?)
Cookhouse Creamery;Q9;No;Dairy;;;;;;;;;;;;;;Q9 -Did you utilize new information from the IFC project?)
Cookhouse Creamery;Q10;Not applicable;Dairy;;;;;;;;;;;;;;Q10 - Have you made use of the resource efficiency self assessment tool?
Cookhouse Creamery;Q11;Yes;Dairy;;;;;;;;;;;;;;Q11 -Did the stakeholders appreciate the IFC/APRE project? Would they continue with the same kind of interventions?
Karan Beef;Q1;Satisfied;Red Meat;;;;;;;;;;;;;;Q12 -Blank
Karan Beef;Q2;All needs were met;Red Meat;;;;;;;;;;;;;;
Karan Beef;Q3;Yes;Red Meat;;;;;;;;;;;;;;
Karan Beef;Q4;Moderate;Red Meat;;;;;;;;;;;;;;
Karan Beef;Q5;Low;Red Meat;;;;;;;;;;;;;;
Karan Beef;Q6;Yes;Red Meat;;;;;;;;;;;;;;
Karan Beef;Q7;Yes;Red Meat;;;;;;;;;;;;;;
Karan Beef;Q8;Partly;Red Meat;;;;;;;;;;;;;;
Karan Beef;Q9;Yes;Red Meat;;;;;;;;;;;;;;
Karan Beef;Q10;Yes;Red Meat;;;;;;;;;;;;;;
Karan Beef;Q11;Yes;Red Meat;;;;;;;;;;;;;;
Klein River;Q1;Satisfied;Dairy;;;;;;;;;;;;;;
Klein River;Q2;Most needs were met;Dairy;;;;;;;;;;;;;;
Klein River;Q3;Yes;Dairy;;;;;;;;;;;;;;
Klein River;Q4;High;Dairy;;;;;;;;;;;;;;
Klein River;Q5;High;Dairy;;;;;;;;;;;;;;
Klein River;Q6;Yes;Dairy;;;;;;;;;;;;;;
Klein River;Q7;No and not planned;Dairy;;;;;;;;;;;;;;
Klein River;Q8;Yes;Dairy;;;;;;;;;;;;;;
Klein River;Q9;Yes;Dairy;;;;;;;;;;;;;;
Klein River;Q10;Not applicable;Dairy;;;;;;;;;;;;;;
Klein River;Q11;Yes;Dairy;;;;;;;;;;;;;;
Lynca Meats;Q1;Satisfied;Red Meat;;;;;;;;;;;;;;
Lynca Meats;Q2;Most needs were met;Red Meat;;;;;;;;;;;;;;
Lynca Meats;Q3;Yes;Red Meat;;;;;;;;;;;;;;
Lynca Meats;Q4;High;Red Meat;;;;;;;;;;;;;;
Lynca Meats;Q5;Moderate;Red Meat;;;;;;;;;;;;;;
Lynca Meats;Q6;Yes;Red Meat;;;;;;;;;;;;;;
Lynca Meats;Q7;No but planned;Red Meat;;;;;;;;;;;;;;
Lynca Meats;Q8;Yes;Red Meat;;;;;;;;;;;;;;
Lynca Meats;Q9;Yes;Red Meat;;;;;;;;;;;;;;
