ADM3_EN,ADM3_PCODE,ADM3_REF,ADM2_EN,ADM2_PCODE,ADM1_EN,ADM1_PCODE,ADM0_EN,ADM0_PCODE,date,validOn,validTo,Area_SqKm,,,,,,,,,,,,,,,,,,,,,,
TA Mwabulambya,MW10101,,Chitipa,MW101,Northern,MW1,Malawi,MW,29.03.23,05.04.23,,628.7291162,,,,,,,,,,,,,,,,,,,,,,
STA Bulambya Songwe,MW10102,,Chitipa,MW101,Northern,MW1,Malawi,MW,29.03.23,05.04.23,,345.7727527,,,,,,,,,,,,,,,,,,,,,,
TA Mwenemisuku,MW10103,,Chitipa,MW101,Northern,MW1,Malawi,MW,29.03.23,05.04.23,,485.5533689,,,,,,,,,,,,,,,,,,,,,,
STA Lwangwa,MW10104,,Chitipa,MW101,Northern,MW1,Malawi,MW,29.03.23,05.04.23,,171.9163579,,,,,,,,,,,,,,,,,,,,,,
TA Mwenewenya,MW10105,,Chitipa,MW101,Northern,MW1,Malawi,MW,29.03.23,05.04.23,,744.7812651,,,,,,,,,,,,,,,,,,,,,,
TA Nthalire,MW10106,,Chitipa,MW101,Northern,MW1,Malawi,MW,29.03.23,05.04.23,,284.0238681,,,,,,,,,,,,,,,,,,,,,,
STA Nthengatenga,MW10107,,Chitipa,MW101,Northern,MW1,Malawi,MW,29.03.23,05.04.23,,301.6654247,,,,,,,,,,,,,,,,,,,,,,
STA Wavikaza,MW10108,,Chitipa,MW101,Northern,MW1,Malawi,MW,29.03.23,05.04.23,,146.0660845,,,,,,,,,,,,,,,,,,,,,,
TA Kameme,MW10109,,Chitipa,MW101,Northern,MW1,Malawi,MW,29.03.23,05.04.23,,441.7100188,,,,,,,,,,,,,,,,,,,,,,
Nyika Ntational Park-Chitipa,MW10110,,Chitipa,MW101,Northern,MW1,Malawi,MW,29.03.23,05.04.23,,778.0494121,,,,,,,,,,,,,,,,,,,,,,
Chitipa Boma,MW10120,,Chitipa,MW101,Northern,MW1,Malawi,MW,29.03.23,05.04.23,,8.510870282,,,,,,,,,,,,,,,,,,,,,,
TA Kilupula,MW10201,,Karonga,MW102,Northern,MW1,Malawi,MW,29.03.23,05.04.23,,333.2631783,,,,,,,,,,,,,,,,,,,,,,
TA Mwakaboko,MW10202,,Karonga,MW102,Northern,MW1,Malawi,MW,29.03.23,05.04.23,,252.1842106,,,,,,,,,,,,,,,,,,,,,,
TA Kyungu,MW10203,,Karonga,MW102,Northern,MW1,Malawi,MW,29.03.23,05.04.23,,1614.281689,,,,,,,,,,,,,,,,,,,,,,
TA Wasambo,MW10204,,Karonga,MW102,Northern,MW1,Malawi,MW,29.03.23,05.04.23,,364.4054388,,,,,,,,,,,,,,,,,,,,,,
