Company;Question;Answer;;;;;;;;;;;;;;;;;;;
SECO - Shakespeare;Q1;Yes;;;;;;;;;;;;;;;;;;;
SECO - Shakespeare;Q2;Yes;;;;;;;;;;;;;;;;;;;
SECO - Shakespeare;Q3;;;;;;;;;;;;;;;;;;;;
SECO - Shakespeare;Q4;;;;;;;;;;;;;;;;;;;;
SECO - Shakespeare;Q5;Moderate;;;;;;;;;;;;;;;;;;;
SECO - Shakespeare;Q6;Yes;;;;;;;;;;;;;;;;;;;
SECO - Shakespeare;Q7;Yes;;;;;;;;;;;;;;;;;;;
SECO - Shakespeare;Q8;Moderate;;;;;;;;;;;;;;;;;;;
SECO - Shakespeare;Q9;High;;;;;;;;;;;;;;;;;;;
SECO - Shakespeare;Q10;Yes;;;;;;;;;;;;;;;;;;;
SECO - Shakespeare;Q11;Yes;;;;;;;;;;;;;;;;;;;
SECO - Shakespeare;Q12;Yes;;;;;;;;;;;;;;;;;;;
SECO - Shakespeare;Q13;Yes;;;;;;;;;;;;;;;;;;;
SECO - Shakespeare;Q14;Yes;;;;;;;;;;;;;;;;;;;
SECO - Shakespeare;Q15;Yes;;;;;;;;;;;;;;;;;;;
SECO - Ischer Philipp;Q1;Yes;;;;;;;;;;;;;;;;;;;
SECO - Ischer Philipp;Q2;Not Sure;;;;;;;;;;;;;;;;;;;
SECO - Ischer Philipp;Q3;;;;;;;;;;;;;;;;;;;;
SECO - Ischer Philipp;Q4;;;;;;;;;;;;;;;;;;;;
SECO - Ischer Philipp;Q5;Not Sure;;;;;;;;;;;;;;;;;;;
SECO - Ischer Philipp;Q6;Not Sure;;;;;;;;;;;;;;;;;;;
SECO - Ischer Philipp;Q7;Yes;;;;;;;;;;;;;;;;;;;
SECO - Ischer Philipp;Q8;Not Sure;;;;;;;;;;;;;;;;;;;
SECO - Ischer Philipp;Q9;Not Sure;;;;;;;;;;;;;;;;;;;
SECO - Ischer Philipp;Q10;Yes;;;;;;;;;;;;;;;;;;;
SECO - Ischer Philipp;Q11;Yes;;;;;;;;;;;;;;;;;;;
SECO - Ischer Philipp;Q12;Yes;;;;;;;;;;;;;;;;;;;
SECO - Ischer Philipp;Q13;Yes;;;;;;;;;;;;;;;;;;;
SECO - Ischer Philipp;Q14;Yes;;;;;;;;;;;;;;;;;;;
SECO - Ischer Philipp;Q15;Not Sure;;;;;;;;;;;;;;;;;;;
Danish Royal Embassy;Q1;Yes;;;;;;;;;;;;;;;;;;;
Danish Royal Embassy;Q2;Yes;;;;;;;;;;;;;;;;;;;
Danish Royal Embassy;Q3;Yes;;;;;;;;;;;;;;;;;;;
Danish Royal Embassy;Q4;Not Sure;;;;;;;;;;;;;;;;;;;
Danish Royal Embassy;Q5;Moderate;;;;;;;;;;;;;;;;;;;
Danish Royal Embassy;Q6;N/A;;;;;;;;;;;;;;;;;;;
Danish Royal Embassy;Q7;Not Sure;;;;;;;;;;;;;;;;;;;
Danish Royal Embassy;Q8;High;;;;;;;;;;;;;;;;;;;
Danish Royal Embassy;Q9;Not Sure;;;;;;;;;;;;;;;;;;;
Danish Royal Embassy;Q10;Yes;;;;;;;;;;;;;;;;;;;
Danish Royal Embassy;Q11;Not Sure;;;;;;;;;;;;;;;;;;;
Danish Royal Embassy;Q12;Yes;;;;;;;;;;;;;;;;;;;
Danish Royal Embassy;Q13;Not Sure;;;;;;;;;;;;;;;;;;;
Danish Royal Embassy;Q14;Yes;;;;;;;;;;;;;;;;;;;
Danish Royal Embassy;Q15;Yes;;;;;;;;;;;;;;;;;;;
Eco-Industrial Parks;Q1;Yes;;;;;;;;;;;;;;;;;;;
Eco-Industrial Parks;Q2;Yes;;;;;;;;;;;;;;;;;;;
Eco-Industrial Parks;Q3;Yes;;;;;;;;;;;;;;;;;;;
Eco-Industrial Parks;Q4;Yes;;;;;;;;;;;;;;;;;;;
Eco-Industrial Parks;Q5;High;;;;;;;;;;;;;;;;;;;
Eco-Industrial Parks;Q6;N/A;;;;;;;;;;;;;;;;;;;
Eco-Industrial Parks;Q7;Yes;;;;;;;;;;;;;;;;;;;
Eco-Industrial Parks;Q8;Moderate;;;;;;;;;;;;;;;;;;;
Eco-Industrial Parks;Q9;Moderate;;;;;;;;;;;;;;;;;;;
Eco-Industrial Parks;Q10;Yes;;;;;;;;;;;;;;;;;;;
Eco-Industrial Parks;Q11;Yes;;;;;;;;;;;;;;;;;;;
Eco-Industrial Parks;Q12;Yes;;;;;;;;;;;;;;;;;;;
Eco-Industrial Parks;Q13;Yes;;;;;;;;;;;;;;;;;;;
Eco-Industrial Parks;Q14;Yes;;;;;;;;;;;;;;;;;;;
Eco-Industrial Parks;Q15;Yes;;;;;;;;;;;;;;;;;;;
